Ht18-24_2011_H03_R1	Ht18-24_2011_H03_R2
Ht18-28_2011_D04_R1	Ht18-28_2011_D04_R2
Ht18-34_2011_B05_R1	Ht18-34_2011_B05_R2
Ht18-39_2011_G05_R1	Ht18-39_2011_G05_R2
Ht18-43_2011_C06_R1	Ht18-43_2011_C06_R2
Ht18-48_2011_H06_R1	Ht18-48_2011_H06_R2
Ht18-55_2011_G07_R1	Ht18-55_2011_G07_R2
Ht18-67_2011_C09_R1	Ht18-67_2011_C09_R2
Ht18-72_2011_H09_R1	Ht18-72_2011_H09_R2
Ht18-79_2011_G10_R1	Ht18-79_2011_G10_R2
Ht18-81_2011_A11_R1	Ht18-81_2011_A11_R2
Ht18-88_2011_H11_R1	Ht18-88_2011_H11_R2
Ht18-89_2011_A12_R1	Ht18-89_2011_A12_R2
Ht18-91_2011_C12_R1	Ht18-91_2011_C12_R2
Ht18-95_2011_G12_R1	Ht18-95_2011_G12_R2
Ht18-96_2011_H12_R1	Ht18-96_2011_H12_R2
Ht06-10_2002_B02_R1	Ht06-10_2002_B02_R2
Ht06-15_2002_G02_R1	Ht06-15_2002_G02_R2
Ht06-17_2002_A03_R1	Ht06-17_2002_A03_R2
Ht06-18_2002_B03_R1	Ht06-18_2002_B03_R2
Ht06-19_2002_C03_R1	Ht06-19_2002_C03_R2
Ht06-20_2002_D03_R1	Ht06-20_2002_D03_R2
Ht06-24_2002_H03_R1	Ht06-24_2002_H03_R2
Ht06-25_2002_A04_R1	Ht06-25_2002_A04_R2
Ht06-26_2002_B04_R1	Ht06-26_2002_B04_R2
Ht06-27_2002_C04_R1	Ht06-27_2002_C04_R2
Ht06-28_2002_D04_R1	Ht06-28_2002_D04_R2
Ht06-29_2002_E04_R1	Ht06-29_2002_E04_R2
Ht06-30_2002_F04_R1	Ht06-30_2002_F04_R2
Ht06-37_2002_E05_R1	Ht06-37_2002_E05_R2
Ht06-38_2002_F05_R1	Ht06-38_2002_F05_R2
Ht06-39_2002_G05_R1	Ht06-39_2002_G05_R2
