fishid,supervised assignments
2011_FMWT_1892,MIG
2011_FMWT_1895,MIG
2011_FMWT_1896,MIG
2011_FMWT_2059,FWR
2011_FMWT_2061,MIG
2011_FMWT_2062,MIG
2011_FMWT_2063,FWR
2011_FMWT_2384,MIG
2011_FMWT_2386,MIG
2011_FMWT_2387,MIG
2011_FMWT_2399,MIG
2011_FMWT_2836,MIG
2011_FMWT_2846,BWR
2011_FMWT_2847,MIG
2011_FMWT_2849,MIG
2011_FMWT_2855,MIG
2011_FMWT_2975,MIG
2011_FMWT_2976,MIG
2011_FMWT_2977,MIG
2011_FMWT_2978,MIG
2011_FMWT_2979,MIG
2011_FMWT_2980,FWR
2011_FMWT_2981,MIG
2011_FMWT_2982,MIG
2011_FMWT_3041,FWR
2011_FMWT_3042,MIG
2011_FMWT_3044,MIG
2011_FMWT_3045,MIG
2011_FMWT_3046,MIG
2011_FMWT_3198,MIG
2011_FMWT_3213,BWR
2011_FMWT_3214,MIG
2011_FMWT_3215,MIG
2011_FMWT_3216,BWR
2011_FMWT_3217,MIG
2011_FMWT_3220,BWR
2011_FMWT_3222,BWR
2011_FMWT_3223,MIG
2011_FMWT_3228,BWR
2011_FMWT_3230,MIG
2011_FMWT_3236,MIG
2011_FMWT_3239,MIG
2011_FMWT_3240,MIG
2011_FMWT_3241,MIG
2011_FMWT_3242,MIG
2011_FMWT_3243,MIG
2011_FMWT_3244,MIG
2011_FMWT_3248,MIG
2011_FMWT_3249,MIG
2011_FMWT_3250,MIG
2011_FMWT_3251,MIG
2011_FMWT_3252,MIG
2011_FMWT_3253,MIG
2011_FMWT_3263,BWR
2011_FMWT_3264,MIG
2011_FMWT_3271,MIG
2011_FMWT_3321,MIG
2011_FMWT_3322,MIG
2011_FMWT_3323,MIG
2011_FMWT_3324,MIG
2011_FMWT_3325,MIG
2011_FMWT_3326,MIG
2011_FMWT_3327,MIG
2011_FMWT_3328,MIG
2011_FMWT_3329,MIG
2011_FMWT_3330,MIG
2011_FMWT_3331,MIG
2011_FMWT_3332,MIG
2011_FMWT_3333,MIG
2011_FMWT_3334,MIG
2011_FMWT_3335,BWR
2011_FMWT_3336,MIG
