"Sample_ID","Groups"
"2011_FMWT_1895","ST3"
"2011_FMWT_1896","ST1"
"2011_FMWT_2059","ST1"
"2011_FMWT_2062","ST3"
"2011_FMWT_2063","FWR"
"2011_FMWT_2075","ST2"
"2011_FMWT_2384","ST2"
"2011_FMWT_2386","ST2"
"2011_FMWT_2836","ST3"
"2011_FMWT_2845","ST4"
"2011_FMWT_2846","BWR"
"2011_FMWT_2847","ST4"
"2011_FMWT_2848","ST2"
"2011_FMWT_2855","ST2"
"2011_FMWT_2974","FWR"
"2011_FMWT_2975","ST3"
"2011_FMWT_2976","ST2"
"2011_FMWT_2977","ST2"
"2011_FMWT_2978","ST2"
"2011_FMWT_2979","ST2"
"2011_FMWT_2980","FWR"
"2011_FMWT_2981","ST4"
"2011_FMWT_2982","ST1"
"2011_FMWT_3042","ST3"
"2011_FMWT_3044","ST1"
"2011_FMWT_3045","ST3"
"2011_FMWT_3046","ST2"
"2011_FMWT_3198","ST4"
"2011_FMWT_3213","ST4"
"2011_FMWT_3214","ST4"
"2011_FMWT_3215","ST3"
"2011_FMWT_3216","BWR"
"2011_FMWT_3220","BWR"
"2011_FMWT_3222","BWR"
"2011_FMWT_3223","ST4"
"2011_FMWT_3228","ST2"
"2011_FMWT_3230","ST4"
"2011_FMWT_3236","ST3"
"2011_FMWT_3237","BWR"
"2011_FMWT_3240","ST3"
"2011_FMWT_3241","ST3"
"2011_FMWT_3244","ST3"
"2011_FMWT_3250","ST2"
"2011_FMWT_3253","ST4"
"2011_FMWT_3263","BWR"
"2011_FMWT_3264","ST2"
"2011_FMWT_3271","ST2"
"2011_FMWT_3321","ST3"
"2011_FMWT_3322","ST2"
"2011_FMWT_3323","ST2"
"2011_FMWT_3324","ST4"
"2011_FMWT_3325","ST1"
"2011_FMWT_3326","ST2"
"2011_FMWT_3327","ST2"
"2011_FMWT_3328","ST2"
"2011_FMWT_3329","ST2"
"2011_FMWT_3330","ST2"
"2011_FMWT_3331","ST3"
"2011_FMWT_3332","ST2"
"2011_FMWT_3333","ST2"
"2011_FMWT_3334","ST3"
"2011_FMWT_3335","ST3"
"2011_FMWT_3338","ST2"
"2011_FMWT_3339","ST3"
"2011_FMWT_3340","ST1"
"2011_FMWT_3341","ST2"
"2011_FMWT_3342","ST3"
"2011_FMWT_3343","ST2"
"2011_FMWT_3344","ST3"
"2011_FMWT_3345","ST3"
"2011_FMWT_3346","ST3"
"2011_FMWT_3347","ST2"
"2011_FMWT_3349","ST2"
"2011_FMWT_3350","ST3"
"2011_FMWT_3351","ST2"
"2011_FMWT_3352","ST3"
"2011_FMWT_3353","ST3"
"2011_FMWT_3354","ST3"
"2011_FMWT_3356","ST3"
"2011_FMWT_3357","ST3"
"2011_FMWT_3358","ST2"
"2011_FMWT_3359","ST4"
"2011_FMWT_3364","ST2"
"2011_FMWT_3367","ST3"
"2011_FMWT_3369","ST4"
"2011_FMWT_3370","ST4"
"2011_FMWT_3371","ST3"
"2011_FMWT_3372","ST4"
"2011_FMWT_3373","ST3"
"2011_FMWT_3375","ST3"
