Sequence File Name,Genidaqs ID,SampleDate,Birth Year (HOBBS),Stock Conc.,Units,Fork Length,Sample_ID,Phenotype,Groups,station,lat,lon
Ht20-17_2012_A03,6148,11-Dec-12,2012,41.43,ng/킠,63,2012-FMWT-6148,FWR,NA,797,38.407932,-121.613943
Ht20-73_2012_A10,6207,9-Jan-13,2012,34.38,ng/킠,76,2013-SKT-6207,MIG,NA,707,38.11391667,-121.706
Ht20-81_2012_A11,6208,9-Jan-13,2012,37.94,ng/킠,69,2013-SKT-6208,MIG,NA,707,38.11391667,-121.706
Ht20-89_2012_A12,6209,9-Jan-13,2012,11.69,ng/킠,71,2013-SKT-6209,MIG,NA,707,38.11391667,-121.706
Ht20-10_2012_B02,6211,9-Jan-13,2012,46.34,ng/킠,65,2013-SKT-6211,FWR,NA,719,38.33554,-121.646902
Ht20-18_2012_B03,6212,9-Jan-13,2012,48.8,ng/킠,66,2013-SKT-6212,FWR,NA,719,38.33554,-121.646902
Ht20-26_2012_B04,6213,9-Jan-13,2012,45.02,ng/킠,69,2013-SKT-6213,FWR,NA,719,38.33554,-121.646902
Ht20-34_2012_B05,6214,9-Jan-13,2012,45.16,ng/킠,70,2013-SKT-6214,FWR,NA,719,38.33554,-121.646902
Ht20-42_2012_B06,6215,9-Jan-13,2012,48.94,ng/킠,66,2013-SKT-6215,FWR,NA,719,38.33554,-121.646902
Ht20-50_2012_B07,6216,9-Jan-13,2012,341.66,ng/킠,79,2013-SKT-6216,MIG,NA,719,38.33554,-121.646902
Ht20-58_2012_B08,6217,9-Jan-13,2012,48.24,ng/킠,64,2013-SKT-6217,FWR,NA,719,38.33554,-121.646902
Ht20-66_2012_B09,6218,9-Jan-13,2012,32.28,ng/킠,69,2013-SKT-6218,MIG,NA,719,38.33554,-121.646902
Ht20-74_2012_B10,6219,9-Jan-13,2012,42.71,ng/킠,65,2013-SKT-6219,FWR,NA,719,38.33554,-121.646902
Ht20-82_2012_B11,6220,9-Jan-13,2012,29.31,ng/킠,58,2013-SKT-6220,FWR,NA,719,38.33554,-121.646902
Ht20-90_2012_B12,6221,9-Jan-13,2012,49.71,ng/킠,68,2013-SKT-6221,FWR,NA,719,38.33554,-121.646902
Ht20-19_2012_C03,6224,9-Jan-13,2012,44.48,ng/킠,65,2013-SKT-6224,FWR,NA,719,38.33554,-121.646902
Ht20-27_2012_C04,6225,9-Jan-13,2012,40.36,ng/킠,65,2013-SKT-6225,FWR,NA,719,38.33554,-121.646902
Ht20-35_2012_C05,6226,9-Jan-13,2012,169.5,ng/킠,75,2013-SKT-6226,MIG,NA,719,38.33554,-121.646902
Ht20-43_2012_C06,6227,9-Jan-13,2012,50.28,ng/킠,65,2013-SKT-6227,FWR,NA,719,38.33554,-121.646902
Ht20-51_2012_C07,6228,9-Jan-13,2012,211.78,ng/킠,70,2013-SKT-6228,FWR,NA,719,38.33554,-121.646902
Ht20-59_2012_C08,6229,9-Jan-13,2012,39.35,ng/킠,58,2013-SKT-6229,FWR,NA,719,38.33554,-121.646902
Ht20-67_2012_C09,6230,9-Jan-13,2012,43.34,ng/킠,67,2013-SKT-6230,FWR,NA,719,38.33554,-121.646902
Ht20-75_2012_C10,6231,9-Jan-13,2012,46.66,ng/킠,66,2013-SKT-6231,FWR,NA,719,38.33554,-121.646902
Ht20-83_2012_C11,6232,9-Jan-13,2012,48.78,ng/킠,74,2013-SKT-6232,MIG,NA,719,38.33554,-121.646902
Ht20-91_2012_C12,6233,9-Jan-13,2012,25.96,ng/킠,56,2013-SKT-6233,FWR,NA,719,38.33554,-121.646902
Ht20-12_2012_D02,6235,9-Jan-13,2012,46.99,ng/킠,65,2013-SKT-6235,FWR,NA,719,38.33554,-121.646902
Ht20-20_2012_D03,6236,9-Jan-13,2012,421.89,ng/킠,69,2013-SKT-6236,FWR,NA,719,38.33554,-121.646902
Ht20-28_2012_D04,6237,9-Jan-13,2012,265.42,ng/킠,70,2013-SKT-6237,MIG,NA,719,38.33554,-121.646902
