"","new_id","old_id","old_classes","aggregated_new_classes","change","new_classes"
"1","2003_SKT_0053","2003_SKT_0053","MIG","MIG",0,"FWM1"
"2","2003_SKT_0054","2003_SKT_0054","MIG","MIG",0,"FWM1"
"3","2003_SKT_0058","2003_SKT_0058","MIG","MIG",0,"FWM1"
"4","2003_SKT_0059","2003_SKT_0059","MIG","MIG",0,"FWM1"
"5","2003_SKT_0060","2003_SKT_0060","MIG","MIG",0,"FWM1"
"6","2003_SKT_0065","2003_SKT_0065","MIG","MIG",0,"FWM1"
"7","2003_SKT_0067","2003_SKT_0067","MIG","MIG",0,"FWM1"
"8","2003_SKT_0068","2003_SKT_0068","MIG","MIG",0,"FWM1"
"9","2003_SKT_0069","2003_SKT_0069","MIG","MIG",0,"FWM1"
"10","2003_SKT_0073","2003_SKT_0073","MIG","MIG",0,"FWM1"
"11","2003_SKT_0074","2003_SKT_0074","FWR","FWR",0,"FWR1"
"12","2003_SKT_0075","2003_SKT_0075","FWR","FWR",0,"FWR1"
"13","2003_SKT_0076","2003_SKT_0076","MIG","MIG",0,"FWM1"
"14","2003_SKT_0077","2003_SKT_0077","FWR","FWR",0,"FWR1"
"15","2003_SKT_0078","2003_SKT_0078","MIG","MIG",0,"FWM1"
"16","2003_SKT_0079","2003_SKT_0079","FWR","FWR",0,"FWR1"
"17","2003_SKT_0080","2003_SKT_0080","FWR","FWR",0,"FWR1"
"18","2003_SKT_0091","2003_SKT_0091","FWR","FWR",0,"FWR1"
"19","2003_SKT_0093","2003_SKT_0093","MIG","MIG",0,"FWM1"
"20","2003_SKT_0094","2003_SKT_0094","MIG","MIG",0,"FWM1"
"21","2003_SKT_0095","2003_SKT_0095","MIG","MIG",0,"FWM1"
"22","2003_SKT_0096","2003_SKT_0096","FWR","FWR",0,"FWR1"
"23","2003_SKT_0097","2003_SKT_0097","FWR","FWR",0,"FWR1"
"24","2003_SKT_0099","2003_SKT_0099","FWR","FWR",0,"FWR1"
"25","2003_SKT_0100","2003_SKT_0100","FWR","FWR",0,"FWR1"
"26","2003_SKT_0101","2003_SKT_0101","MIG","MIG",0,"FWM1"
"27","2003_SKT_0102","2003_SKT_0102","FWR","FWR",0,"FWR1"
"28","2003_SKT_0104","2003_SKT_0104","MIG","MIG",0,"FWM1"
"29","2003_SKT_0105","2003_SKT_0105","MIG","MIG",0,"FWM1"
"30","2003_SKT_0106","2003_SKT_0106","MIG","MIG",0,"FWM1"
"31","2003_SKT_0123","2003_SKT_0123","MIG","MIG",0,"FWM1"
"32","2003_SKT_0125","2003_SKT_0125","MIG","MIG",0,"FWM1"
"33","2003_SKT_0127","2003_SKT_0127","MIG","MIG",0,"FWM1"
"34","2003_SKT_0128","2003_SKT_0128","MIG","FWR",1,"FWR2"
"35","2003_SKT_0131","2003_SKT_0131","MIG","MIG",0,"FWM1"
"36","2003_SKT_0140","2003_SKT_0140","FWR","FWR",0,"FWR1"
"37","2003_SKT_0141","2003_SKT_0141","MIG","MIG",0,"FWM1"
"38","2003_SKT_0142","2003_SKT_0142","FWR","FWR",0,"FWR1"
"39","2003_SKT_0143","2003_SKT_0143","MIG","MIG",0,"FWM1"
"40","2003_SKT_0144","2003_SKT_0144","MIG","MIG",0,"FWM1"
"41","2003_SKT_0145","2003_SKT_0145","FWR","FWR",0,"FWR1"
"42","2003_SKT_0146","2003_SKT_0146","MIG","MIG",0,"FWM1"
